grid,year,circuitRef,location,trackLength,trackTurns,driverRef,driverNationality,constructorRef,constructorNationality
8,2005,sepang,Kuala Lumpur,5.543,15,coulthard,British,red_bull,Austrian
0,2024,catalunya,Montmeló,4.657,14,albon,Thai,williams,British
9,2001,red_bull_ring,Spielberg,4.318,10,raikkonen,Finnish,sauber,Swiss
12,2020,monza,Monza,5.793,11,ocon,French,renault,French
9,2022,suzuka,Suzuka,5.807,18,vettel,German,aston_martin,British
6,2022,bahrain,Sakhir,5.412,15,bottas,Finnish,alfa,Swiss
1,2015,americas,Austin,5.513,20,rosberg,German,mercedes,German
17,1999,monza,Monza,5.793,11,fisichella,Italian,benetton,Italian
17,2001,albert_park,Melbourne,5.278,16,fisichella,Italian,benetton,Italian
13,2008,villeneuve,Montreal,4.361,14,coulthard,British,red_bull,Austrian
10,2020,hungaroring,Budapest,4.381,14,gasly,French,alphatauri,Italian
9,2018,shanghai,Shanghai,5.451,16,sainz,Spanish,renault,French
22,2006,shanghai,Shanghai,5.451,16,albers,Dutch,spyker_mf1,Dutch
17,1999,spa,Spa,7.004,20,panis,French,prost,French
17,2024,monza,Monza,5.793,11,stroll,Canadian,aston_martin,British
19,2006,suzuka,Suzuka,5.807,18,speed,American,toro_rosso,Italian
3,2020,silverstone,Silverstone,5.891,18,hulkenberg,German,racing_point,British
15,2007,shanghai,Shanghai,5.451,16,rosberg,German,williams,British
2,2017,albert_park,Melbourne,5.278,16,vettel,German,ferrari,Italian
19,1999,monaco,Monte-Carlo,3.337,19,takagi,Japanese,arrows,British
14,1998,suzuka,Suzuka,5.807,18,trulli,Italian,prost,French
19,2005,istanbul,Istanbul,5.338,14,michael_schumacher,German,ferrari,Italian
13,2000,imola,Imola,4.909,19,rosa,Spanish,arrows,British
17,2023,spa,Spa,7.004,20,zhou,Chinese,alfa,Swiss
13,2008,silverstone,Silverstone,5.891,18,bourdais,French,toro_rosso,Italian
7,2000,nurburgring,Nürburg,5.148,15,fisichella,Italian,benetton,Italian
7,1998,interlagos,São Paulo,4.309,15,fisichella,Italian,benetton,Italian
8,2021,monza,Monza,5.793,11,perez,Mexican,red_bull,Austrian
10,2010,interlagos,São Paulo,4.309,15,petrov,Russian,renault,French
20,2017,catalunya,Montmeló,4.657,14,vandoorne,Belgian,mclaren,British
24,2012,sepang,Kuala Lumpur,5.543,15,kovalainen,Finnish,caterham,Malaysian
20,2024,suzuka,Suzuka,5.807,18,zhou,Chinese,sauber,Swiss
9,2017,yas_marina,Abu Dhabi,5.281,16,ocon,French,force_india,Indian
3,2007,sepang,Kuala Lumpur,5.543,15,raikkonen,Finnish,ferrari,Italian
11,2010,monza,Monza,5.793,11,sutil,German,force_india,Indian
8,2022,monaco,Monte-Carlo,3.337,19,hamilton,British,mercedes,German
16,2000,magny_cours,Magny Cours,4.411,16,heidfeld,German,prost,French
4,2017,yas_marina,Abu Dhabi,5.281,16,ricciardo,Australian,red_bull,Austrian
1,2024,suzuka,Suzuka,5.807,18,max_verstappen,Dutch,red_bull,Austrian
3,2022,spa,Spa,7.004,20,alonso,Spanish,alpine,French
6,2010,monaco,Monte-Carlo,3.337,19,rosberg,German,mercedes,German
13,1997,nurburgring,Nürburg,5.148,15,damon_hill,British,arrows,British
13,2007,fuji,Oyama,4.563,16,trulli,Italian,toyota,Japanese
5,2023,baku,Baku,6.003,20,hamilton,British,mercedes,German
4,2022,monza,Monza,5.793,11,ricciardo,Australian,mclaren,British
8,2016,rodriguez,Mexico City,4.304,17,bottas,Finnish,williams,British
4,2013,monaco,Monte-Carlo,3.337,19,webber,Australian,red_bull,Austrian
14,2012,yas_marina,Abu Dhabi,5.281,16,bruno_senna,Brazilian,williams,British
21,2011,albert_park,Melbourne,5.278,16,glock,German,virgin,British
5,2006,silverstone,Silverstone,5.891,18,fisichella,Italian,renault,French
1,2022,monza,Monza,5.793,11,leclerc,Monegasque,ferrari,Italian
20,2016,silverstone,Silverstone,5.891,18,wehrlein,German,manor,British
4,2014,monza,Monza,5.793,11,massa,Brazilian,williams,British
20,2020,imola,Imola,4.909,19,giovinazzi,Italian,alfa,Swiss
16,2018,silverstone,Silverstone,5.891,18,sainz,Spanish,renault,French
12,2015,marina_bay,Marina Bay,4.94,19,alonso,Spanish,mclaren,British
16,1997,jerez,Jerez de la Frontera,4.428,13,ralf_schumacher,German,jordan,Irish
6,2007,hungaroring,Budapest,4.381,14,alonso,Spanish,mclaren,British
5,2004,silverstone,Silverstone,5.891,18,trulli,Italian,renault,French
4,2012,bahrain,Sakhir,5.412,15,button,British,mclaren,British
21,2013,americas,Austin,5.513,20,chilton,British,marussia,Russian
19,2013,villeneuve,Montreal,4.361,14,jules_bianchi,French,marussia,Russian
8,2016,monza,Monza,5.793,11,perez,Mexican,force_india,Indian
18,2020,monza,Monza,5.793,11,giovinazzi,Italian,alfa,Swiss
3,2000,monaco,Monte-Carlo,3.337,19,coulthard,British,mclaren,British
18,2014,albert_park,Melbourne,5.278,16,jules_bianchi,French,marussia,Russian
20,2014,shanghai,Shanghai,5.451,16,ericsson,Swedish,caterham,Malaysian
1,2016,shanghai,Shanghai,5.451,16,rosberg,German,mercedes,German
7,2023,hungaroring,Budapest,4.381,14,bottas,Finnish,alfa,Swiss
18,2016,baku,Baku,6.003,20,sainz,Spanish,toro_rosso,Italian
14,2024,monza,Monza,5.793,11,gasly,French,alpine,French
17,2021,sochi,Sochi,5.848,15,giovinazzi,Italian,alfa,Swiss
8,2006,indianapolis,Indianapolis,4.192,13,ralf_schumacher,German,toyota,Japanese
15,2003,magny_cours,Magny Cours,4.411,16,heidfeld,German,sauber,Swiss
17,2002,indianapolis,Indianapolis,4.192,13,rosa,Spanish,jaguar,British
7,2018,americas,Austin,5.513,20,hulkenberg,German,renault,French
21,1996,imola,Imola,4.909,19,badoer,Italian,forti,Italian
19,2020,istanbul,Istanbul,5.338,14,gasly,French,alphatauri,Italian
21,2006,villeneuve,Montreal,4.361,14,montagny,French,super_aguri,Japanese
17,2020,imola,Imola,4.909,19,kevin_magnussen,Danish,haas,American
19,2015,sepang,Kuala Lumpur,5.543,15,merhi,Spanish,manor,British
23,2010,yeongam,Yeongam County,5.615,18,yamamoto,Japanese,hrt,Spanish
17,1997,magny_cours,Magny Cours,4.411,16,damon_hill,British,arrows,British
5,2006,bahrain,Sakhir,5.412,15,montoya,Colombian,mclaren,British
16,2013,monaco,Monte-Carlo,3.337,19,maldonado,Venezuelan,williams,British
14,2009,suzuka,Suzuka,5.807,18,fisichella,Italian,ferrari,Italian
11,2020,bahrain,Sakhir,5.412,15,vettel,German,ferrari,Italian
20,2007,spa,Spa,7.004,20,davidson,British,super_aguri,Japanese
10,1998,magny_cours,Magny Cours,4.411,16,wurz,Austrian,benetton,Italian
5,2004,indianapolis,Indianapolis,4.192,13,montoya,Colombian,williams,British
19,2021,imola,Imola,4.909,19,mazepin,Russian,haas,American
4,2006,hockenheimring,Hockenheim,4.574,16,button,British,honda,Japanese
1,2008,fuji,Oyama,4.563,16,hamilton,British,mclaren,British
2,2021,monaco,Monte-Carlo,3.337,19,max_verstappen,Dutch,red_bull,Austrian
1,2005,suzuka,Suzuka,5.807,18,ralf_schumacher,German,toyota,Japanese
22,2006,suzuka,Suzuka,5.807,18,yamamoto,Japanese,super_aguri,Japanese
7,2003,catalunya,Montmeló,4.657,14,ralf_schumacher,German,williams,British
5,1999,catalunya,Montmeló,4.657,14,alesi,French,sauber,Swiss
15,2012,americas,Austin,5.513,20,perez,Mexican,sauber,Swiss
10,2024,losail,Al Daayen,5.419,16,kevin_magnussen,Danish,haas,American
20,2012,buddh,Uttar Pradesh,5.141,16,kovalainen,Finnish,caterham,Malaysian
15,2000,imola,Imola,4.909,19,alesi,French,prost,French
20,2000,silverstone,Silverstone,5.891,18,wurz,Austrian,benetton,Italian
22,2012,americas,Austin,5.513,20,kovalainen,Finnish,caterham,Malaysian
12,2015,catalunya,Montmeló,4.657,14,maldonado,Venezuelan,lotus_f1,British
17,2008,spa,Spa,7.004,20,button,British,honda,Japanese
4,2014,catalunya,Montmeló,4.657,14,bottas,Finnish,williams,British
2,2015,hungaroring,Budapest,4.381,14,rosberg,German,mercedes,German
15,2022,jeddah,Jeddah,6.174,27,hamilton,British,mercedes,German
10,2013,villeneuve,Montreal,4.361,14,raikkonen,Finnish,lotus_f1,British
7,2022,ricard,Le Castellet,5.842,15,alonso,Spanish,alpine,French
2,2012,hockenheimring,Hockenheim,4.574,16,vettel,German,red_bull,Austrian
21,2012,sepang,Kuala Lumpur,5.543,15,pic,French,marussia,Russian
4,2009,suzuka,Suzuka,5.807,18,heidfeld,German,bmw_sauber,German
12,2008,fuji,Oyama,4.563,16,piquet_jr,Brazilian,renault,French
8,2001,indianapolis,Indianapolis,4.192,13,trulli,Italian,jordan,Irish
21,2000,sepang,Kuala Lumpur,5.543,15,gene,Spanish,minardi,Italian
6,2013,yeongam,Yeongam County,5.615,18,massa,Brazilian,ferrari,Italian
12,2023,villeneuve,Montreal,4.361,14,perez,Mexican,red_bull,Austrian
13,2015,villeneuve,Montreal,4.361,14,alonso,Spanish,mclaren,British
10,2024,villeneuve,Montreal,4.361,14,albon,Thai,williams,British
20,2011,marina_bay,Marina Bay,4.94,19,trulli,Italian,lotus_racing,Malaysian
16,1997,hungaroring,Budapest,4.381,14,nakano,Japanese,prost,French
15,2004,interlagos,São Paulo,4.309,15,klien,Austrian,jaguar,British
15,2018,catalunya,Montmeló,4.657,14,perez,Mexican,force_india,Indian
